60   1   60   0  36
60   2  119  60  36
60   3  177  60  36
60   4  234 119  36
60   5  290 120  38
60   6  345 120  41
60   7  399 120  41
60   8  452 178  58
60   9  504 179  58
60  10  555 180  58
60  11  605 180  58
60  12  654 180  58
60  13  702 180  58
60  14  749 180  58
60  15  795 180  58
60  16  840 237  58
60  17  884 238  58
60  18  927 239  58
60  19  969 239  58
60  20 1010 240  58
60  21 1050 240  58
60  22 1089 240  58
60  23 1127 240  58
60  24 1164 240  58
60  25 1200 240  58
60  26 1235 240  58
60  27 1269 240  58
60  28 1302 240  58
60  29 1334 240  58
60  30 1365 240  58
60  31 1395 240  58
60  32 1424 296  58
60  33 1452 297  58
60  34 1479 298  58
60  35 1505 298  58
60  36 1530 299  58
60  37 1554 299  58
60  38 1577 299  58
60  39 1599 299  59
60  40 1620 300  59
60  41 1640 300  59
60  42 1659 300  59
60  43 1677 300  59
60  44 1694 300  59
60  45 1710 300  59
60  46 1725 300  59
60  47 1739 300  59
60  48 1752 300  59
60  49 1764 300  60
60  50 1775 300  60
60  51 1785 300  60
60  52 1794 300  60
60  53 1802 300  60
60  54 1809 300  60
60  55 1815 300  60
60  56 1820 300  60
60  57 1824 300  60
60  58 1827 300  60
60  59 1829 300  60
60  60 1830 300  60
