40   1   40   0  21
40   2   79  40  21
40   3  117  40  21
40   4  154  79  21
40   5  190  80  35
40   6  225  80  40
40   7  259  80  40
40   8  292 118  40
40   9  324 119  40
40  10  355 120  40
40  11  385 120  40
40  12  414 120  40
40  13  442 120  40
40  14  469 120  40
40  15  495 120  40
40  16  520 157  40
40  17  544 158  40
40  18  567 159  40
40  19  589 159  40
40  20  610 160  40
40  21  630 160  40
40  22  649 160  40
40  23  667 160  40
40  24  684 160  40
40  25  700 160  40
40  26  715 160  40
40  27  729 160  40
40  28  742 160  40
40  29  754 160  40
40  30  765 160  40
40  31  775 160  40
40  32  784 196  40
40  33  792 197  40
40  34  799 198  40
40  35  805 198  40
40  36  810 199  40
40  37  814 199  40
40  38  817 199  40
40  39  819 199  40
40  40  820 200  40
